DATE,BALANCE AMT,DEPOSIT AMT,WITHDRAWAL AMT,balance_lag1,deposit_lag1,withdrawal_lag1,balance_ma7,deposit_ma7,anomaly,LR_Pred,RF_Pred,LSTM_Pred
2018-08-25,-528455892.89000046,500.0,0.0,-528570216.8100005,79409846.43,73987212.58,-1279559163.3285785,67514585.09285714,1,-1389090194.5294576,-1360211994.9479034,-1365736100.0
2018-08-27,-528553892.89000046,143704547.81,124517278.33,-528455892.89000046,500.0,0.0,-1084251955.7100048,76646762.58285715,1,-1161799999.9814725,-1168423684.8899026,-1227828900.0
2018-08-28,-548231439.250001,55961090.04,72278474.17,-528553892.89000046,143704547.81,124517278.33,-1087066902.2785764,67113339.33428572,1,-1151646818.553474,-1001359212.4814032,-1221151500.0
2018-08-29,-528592011.4000006,66565559.01,69461219.64,-548231439.250001,55961090.04,72278474.17,-891475510.1300029,68050552.24,1,-930071786.8986434,-1140567579.869903,-1075995900.0
2018-08-30,-544344788.7100004,73412601.63,67695608.04,-528592011.4000006,66565559.01,69461219.64,-698806099.200001,78438066.75857143,1,-698662870.7762246,-1169230710.2123027,-930082300.0
2018-08-31,-1684618055.5200033,63594239.05,76043485.83,-544344788.7100004,73412601.63,67695608.04,-698766613.9242867,68949769.13857143,1,-693035391.138219,-1161571783.1811028,-928518300.0
2018-09-01,-1684249589.1700034,61291444.25,60646045.769999996,-1684618055.5200033,63594239.05,76043485.83,-863863667.1185728,66361425.96999999,1,-719741088.9249811,-1138060548.9593027,-1014500300.0
2018-09-03,-528462345.0700007,99875282.75,101208913.51,-1684249589.1700034,61291444.25,60646045.769999996,-863864588.8585728,80629252.07714285,1,-716414424.3440877,-1178561328.059403,-1016616900.0
2018-09-04,-527971760.1600008,63940382.7,61460759.34,-528462345.0700007,99875282.75,101208913.51,-863781427.0400015,69234371.34714286,1,-893327478.3169837,-1019741737.3889027,-1053802500.0
2018-09-05,-1688707563.4100034,65221514.61,62851621.75,-527971760.1600008,63940382.7,61460759.34,-1026706587.6342876,70557289.14285715,1,-1088859378.4501708,-1272863570.4070034,-1180219500.0
2018-09-06,-517359028.3800007,67482097.29,70093564.1,-1688707563.4100034,65221514.61,62851621.75,-1025101875.7742875,70688223.18285714,1,-907390009.9208267,-1343319360.272703,-1135380900.0
2018-09-07,-1689309311.7300034,64624402.46,65802719.06,-517359028.3800007,67482097.29,70093564.1,-1188668236.2057166,69432766.15857144,1,-1285286277.7488742,-1326085602.5001035,-1300186800.0
2018-09-08,-528555564.45000064,101700.0,0.0,-1689309311.7300034,64624402.46,65802719.06,-1023516451.7671448,60362403.43714286,1,-906221669.814949,-1356531691.9721026,-1133189500.0
2018-09-10,-543336016.3900005,152931513.27,139722814.38,-528555564.45000064,101700.0,0.0,-860528798.5128585,73453841.86857143,1,-894383531.1647573,-1129117832.5420034,-1059452700.0
2018-09-11,-518655706.91000074,54588525.71,67132711.58,-543336016.3900005,152931513.27,139722814.38,-859127850.2042872,66984305.14857143,1,-878312660.3614078,-1086446305.2814047,-1046652900.0
2018-09-12,-1681903965.500003,69752205.44,70236487.29,-518655706.91000074,54588525.71,67132711.58,-1023975308.1100018,67814565.54,1,-1091898017.4999242,-1271052069.3680031,-1177732000.0
2018-09-13,-1690335471.500003,45704346.730000004,46555635.15,-1681903965.500003,69752205.44,70236487.29,-1024207866.4085732,65026398.7,1,-907834646.1146522,-1238169135.934403,-1134044400.0
2018-09-14,-1891572401.6900127,97274228.37,88086209.51,-1690335471.500003,45704346.730000004,46555635.15,-1220524062.595718,69282417.42571428,1,-1142559232.1989038,-1206673654.3587036,-1278147600.0
2018-09-15,-516341549.5000007,79413350.4,83979013.34,-1891572401.6900127,97274228.37,88086209.51,-1052957239.420003,71395124.27428572,1,-905604554.5392604,-1270817085.9105024,-1148495500.0
2018-09-17,-1897868356.6600127,123479001.15,118647823.72,-516341549.5000007,79413350.4,83979013.34,-1248573352.592862,89020453.01,1,-1357453255.4373505,-1210744006.1804028,-1345751000.0
2018-09-18,-1687469510.760003,64910390.550000004,62660972.85,-1897868356.6600127,123479001.15,118647823.72,-1412020994.6457193,76446006.90714286,1,-1333638085.9714599,-1534674420.1091056,-1404796900.0
2018-09-19,-1896911173.3600128,59519099.1,62841365.16,-1687469510.760003,64910390.550000004,62660972.85,-1608914632.710007,77150374.53428571,1,-1605286065.2477612,-1309474364.3550038,-1549905900.0
2018-09-20,-543711737.2100003,43563476.75,43601821.85,-1896911173.3600128,59519099.1,62841365.16,-1446315742.9542923,73409127.57857142,1,-1380470082.9274971,-1078418140.2620025,-1430184600.0
2018-09-21,-1690417217.1000035,67662071.37,67304998.46000001,-543711737.2100003,43563476.75,43601821.85,-1446327420.8971496,76545945.38428572,1,-1589723657.490732,-1599738107.201605,-1486998500.0
2018-09-24,-1669591311.0900035,208329786.91,234567509.83,-1690417217.1000035,67662071.37,67304998.46000001,-1414615836.5257194,92411025.17571428,1,-1373496517.556141,-1413272165.4301045,-1417000700.0
2018-09-25,-1894593226.6400125,99385865.73,123809664.08,-1669591311.0900035,208329786.91,234567509.83,-1611508933.2600071,95264241.65142858,1,-1612437062.755038,-1206231965.8455036,-1549379600.0
2018-09-26,-536878190.590001,75569312.15,106606049.49,-1894593226.6400125,99385865.73,123809664.08,-1417081766.6785767,88420000.3657143,1,-1350403606.3063054,-1403789256.109405,-1408794600.0
2018-09-27,-1690263728.2500036,51236765.269999996,55102379.160000004,-536878190.590001,75569312.15,106606049.49,-1417480940.6057193,86466625.32571428,1,-1564027725.11068,-1620712361.1284056,-1464709500.0
2018-09-28,-545865672.1300006,55307021.28,153267920.55,-1690263728.2500036,51236765.269999996,55102379.160000004,-1224474440.4300036,85864899.92285715,1,-1148305467.2793984,-1141613118.7909033,-1281957200.0
2018-09-29,-527748719.0100008,42821717.76,41005904.120000005,-545865672.1300006,55307021.28,153267920.55,-1222194009.258575,85758934.35285714,1,-1350137887.173906,-1395166706.520004,-1319478700.0
2018-09-30,-1930294011.910004,0.0,8451056.0,-527748719.0100008,42821717.76,41005904.120000005,-1256462122.8028607,76092924.15714286,1,-1364838007.4293175,-1241068582.3373027,-1351762400.0
2018-10-01,-546149652.6800008,105940537.44,102148452.25,-1930294011.910004,0.0,8451056.0,-1095970457.3157175,61465888.51857143,1,-961103670.785844,-1022614659.4687022,-1182067200.0
2018-10-02,-527685539.7900008,3300.0,0.0,-546149652.6800008,105940537.44,102148452.25,-900697930.6228589,47268379.12857143,1,-932308945.3028045,-980556852.9949026,-1078703500.0
2018-10-03,-527179472.7300008,89650161.35,90434241.38,-527685539.7900008,3300.0,0.0,-899312399.5000017,49279929.01428572,1,-940278279.3022826,-1072384386.400603,-1086237600.0
2018-10-04,-1689107493.8700037,61439991.53,70121384.87,-527179472.7300008,89650161.35,90434241.38,-899147223.1600016,50737532.76571429,1,-935689863.4293203,-1150490132.4095032,-1079526500.0
2018-10-05,-546328491.0600008,155421193.15,149955282.78,-1689107493.8700037,61439991.53,70121384.87,-899213340.1500018,65039557.31857143,1,-760247621.5719203,-1184628260.228003,-1041101700.0
2018-10-06,-528319190.2100008,40727269.17,38557405.89,-546328491.0600008,155421193.15,149955282.78,-899294836.0357159,64740350.377142854,1,-927935794.898268,-1005694468.2397037,-1076287700.0
2018-10-08,-548136825.8700008,89922035.37,87711947.88,-528319190.2100008,40727269.17,38557405.89,-701843809.4585726,77586355.42999999,1,-702182974.6098062,-1146727433.9229028,-934950600.0
2018-10-09,-544933918.4100009,53237085.53,58628022.93,-548136825.8700008,89922035.37,87711947.88,-701670133.134287,70057290.87142858,1,-696108454.2711104,-1156655347.6302025,-929084800.0
2018-10-10,-538264660.8700007,69572891.66,59141218.4,-544933918.4100009,53237085.53,58628022.93,-703181436.1457155,79995803.96571429,1,-702843208.8980654,-1195818190.206503,-933880900.0
2018-10-11,-523432029.90000063,59047012.33,67881500.75999999,-538264660.8700007,69572891.66,59141218.4,-702646087.1700013,75623925.53428571,1,-697589825.849408,-1181539725.2257028,-933230500.0
2018-10-12,-523667737.3800007,89580587.53999999,96189951.77,-523432029.90000063,59047012.33,67881500.75999999,-536154693.38571507,79644010.67857143,1,-507320135.16303915,-1226002682.0398026,-803319230.0
2018-10-13,-528246376.5100007,1200.0,0.0,-523667737.3800007,89580587.53999999,96189951.77,-533571534.1642865,57441154.51428572,1,-501366922.8003623,-1139780065.7168021,-796322800.0
2018-10-14,-528245476.5100007,900.0,0.0,-528246376.5100007,1200.0,0.0,-533561003.635715,51623101.775714286,1,-503282786.6700089,-1105522123.1472023,-804558100.0
2018-10-15,1374007.0,137415546.56,92594189.2,-528245476.5100007,900.0,0.0,-455059456.0828577,58407889.08857143,1,-409667118.6630378,-1105522123.1472023,-743515840.0
2018-10-16,-1684514524.7200031,74785856.71000001,118110141.95,1374007.0,137415546.56,92594189.2,-617856685.5557153,61486284.971428566,1,-665655688.5529916,-1331576239.6960032,-885640300.0
2018-10-17,-1686495741.7200031,57034793.16,57751081.39,-1684514524.7200031,74785856.71000001,118110141.95,-781889697.1057156,59695128.04285715,1,-630177735.8359429,-1021439638.7944022,-949478000.0
